passenger_id,birthdate,sex,street,city,zip,country,emailaddress,telephoneno
43,1930-04-25,m,Hermann-Gmeiner-Straße 45,Klagenfurt,9073,Mexico,Paul.Mazursky@uswestdatamail.com,01724 17135521
44,1930-04-08,m,Dr.-Ferdinand-Kogler-Straße 84,Klagenfurt,9201,United States,John.Reardon@tms.suncom.com,03394 18315701
45,1930-04-19,m,Leopold-Wedl-Weg 86,Kleinarl,5603,United Arab Emirates,Dick.Sargent@satellink.net,08974 93778658
46,1930-05-08,m,An-der-Lan-Straße 79,Koglhof,8172,Egypt,Doug.Atkins@swmsg.com,09965 16953218
47,1930-05-21,m,Arzler Straße 37,Koglhof,8184,Congo,Tommy.Bryant@bplmobile.com,08579 78103248
48,1930-05-31,m,Barthweg 49,Koglhof,8190,Iran,Clint.Eastwood@onlinebeep.net,03313 31382787
49,1930-05-04,m,Bettelwurfstraße 32,Koglhof,8191,Brazil,William_James.Eyden@mobile.celloneusa.com,05749 93343755
50,1930-05-13,m,Canisiusweg 17,Reißeck,9815,United States,Mike.Gravel@inlandlink.com,09422 91086293
51,1930-05-15,m,Canisiusweg 87,Reißeck,9816,Colombia,Jasper.Johns@paging.acswireless.com,07276 90545805
52,1930-05-01,m,Col-di-Lana-Straße 87,Kramsach,6233,Mexico,Ollie.Matson@page.southernlinc.com,03444 593696
53,1930-05-22,m,Dörrstraße 74,Krimml,5743,United States,Harvey.Milk@mobile.celloneusa.com,09962 96368000
54,1930-05-04,w,Eggenwaldweg 10,Langenegg,6941,United States,Roberta.Peters@correo.movistar.net,08295 25648775
55,1930-05-09,w,Exerzierweg 30,Längenfeld,6444,Indonesia,Joan.Sims@mobilecomm.net,07939 20014755
56,1930-05-10,m,Finkenbergweg 17,Leopoldschlag,4262,Germany,Pat.Summerall@uraltel.ru,06189 49441396
57,1930-06-01,m,Framsweg 98,Lödersdorf,8333,United States,Pat.Corley@t.vodafone.ne.jp,06151 59253771
58,1930-06-29,m,Fuchsrain 37,Lödersdorf,8334,United States,Robert.Evans@my2way.com,01172 80849115
59,1930-06-07,w,Haller Straße 91,Lödersdorf,8361,Canada,Dolores.Gray@bell.ca,06907 2849280
60,1930-06-21,m,Helfentalweg 46,Annaberg-Lungötz,5523,Mexico,Mike.McCormack@c.vodafone.ne.jp,0700 26494315
61,1930-06-27,m,Johannesgasse 59,Annaberg-Lungötz,5524,Brazil,Ross.Perot@comcastpcs.textmsg.com,01144 77748504
62,1930-06-15,m,Kajetan-Sweth-Straße 58,Mieming,6414,United States,Marcel.Pronovost@cookmail.com,05440 38772773
63,1930-06-19,w,Kalkofenweg 12,Mönichwald,8251,United States,Gena.Rowlands@mycellone.com,03065 36946173
64,1930-06-11,w,Kreuzgasse 87,Mönichwald,8252,Ethiopia,Ellen.Schwiers@timnet.com,09277 53022368
65,1930-06-01,m,Krippengasse 0,Mönichwald,8253,United States,Edward.Woodward@advantagepaging.com,08679 74909473
66,1930-07-06,m,Kugelfangweg 39,Muhr,5583,United States,Chief.Armstrong@fido.ca,01416 46078705
67,1930-07-14,w,Langkofelstraße 96,Neuberg an der Mürz,8692,United States,Polly.Bergen@page.nextel.com,08790 1310171
68,1930-07-24,w,Lehmweg 63,Opponitz,3341,Turkey,Jacqueline.Brookes@jsmtel.com,04282 10184928
69,1930-07-10,m,Monte-Piano-Straße 28,Opponitz,3342,United States,Pete.Carril@pcs.rogers.com,02245 81722129
70,1930-07-24,m,Moserfeldweg 52,Pfarrwerfen,5450,United States,Gianni.Clerici@inlandlink.com,04124 61056129
71,1930-07-22,m,Nikodemweg 76,Pfarrwerfen,5452,United States,Eric_del.Castillo@pcs.rogers.com,08154 24567327
72,1930-07-25,w,Pfeisweg 24,Pfarrwerfen,5500,Chad,Maureen.Forrester@mobtel.co.yu,07819 17274077
73,1930-07-02,m,Pontlatzer Straße 94,Prägraten am Großvenediger,9974,Australia,Jack.Garfein@tms.suncom.com,05178 7101552
74,1930-07-29,w,Purnhofweg 97,Pramet,4925,Yemen,Sue.Johanson@voicestream.net,08015 79462826
75,1930-07-28,m,Rechenhofweg 3,Ratten,8672,Indonesia,Junior.Kimbrough@bplmobile.com,05685 45879765
76,1930-07-21,w,Rumer Straße 23,Ratten,8673,United States,Helen.Merrill@inlandlink.com,05883 56550126
77,1930-07-12,m,Rumer Straße 9,Ratten,8674,United States,Gordon.Pinsent@mmail.co.uk,0623 61534546
78,1930-07-25,w,Schlöglgasse 75,Rohrbach an der Gölsen,3162,Indonesia,Annie.Ross@pager.irkutsk.ru,08896 60205279
79,1930-07-30,m,Schnellmanngasse 49,Rohrbach an der Gölsen,3163,Turkey,Thomas.Sowell@email.uscc.net,03414 90089412
80,1930-07-07,m,Schobergasse 22,Rohrendorf bei Krems,3495,Turkey,Doyle.Wilburn@advantagepaging.com,04802 69851357
81,1930-08-05,m,Schönblickweg 61,Sonntag,6731,Chad,Neil.Armstrong@page.infopagesystems.com,0518 16371112
82,1930-08-15,m,Alois-Schrott-Straße 42,Stadl-Paura,4651,Brazil,Jackie.Brenston@movistar.net,06630 82388944
83,1930-08-20,w,Schützenstraße 26,Stein,8282,Italy,Josie.Carey@umc.com.ua,01304 18049954
84,1930-08-25,m,Schusterbergweg 3,Thiersee,6335,United States,Sir_Sean.Connery@webpager.us,05111 1448657
85,1930-08-16,m,Seidenweg 40,Treubach,5271,United States,Robert.Culp@pscel.com,05388 65074937
86,1930-08-23,w,Spingeser Straße 93,Treubach,5272,Denmark,Barbara.Eden@page.metrocall.com,06372 23385928
87,1930-08-28,m,Weinberggasse 42,Waldbach,8253,Argentina,Ben.Gazzara@mobtel.co.yu,02576 58658236
88,1930-08-16,m,Wolfsgrube 33,Weißensee,9762,Argentina,Frank.Gifford@airtelchennai.com,01600 4033160
89,1930-08-13,m,Zimmeterweg 40,Wenigzell,8253,Argentina,Don.Ho@page.propage.net,07216 48705950
90,1930-08-06,w,Franz-Wach-Gasse 3,Wenigzell,8254,Argentina,Abbey.Lincoln@bluecell.com,02704 89114636
91,1930-08-14,m,Rosnerweg 94,Werfenweng,5453,Argentina,Earl.Weaver@safaricomcom,06443 54824576
92,1930-09-20,w,Josef-Wilberger-Straße 63,Eisenstadt,7000,Argentina,Pearl.Butler@phone.cellone.net,08082 39635257
93,1930-09-28,m,Pasubiostraße 33,Rust,7071,Brazil,Tommy.Collins@omnipointpcs.com,05571 59648726
94,1930-09-26,m,General-Feurstein-Straße 78,Breitenbrunn,7091,Brazil,Lawrence.Fleisher@celforce.com,03111 76608520
95,1930-09-16,w,Dr.-Hans-Klocker-Straße 91,Donnerskirchen,7082,Brazil,Anne.Francis@delhi.hutch.co.in,08970 18723376
96,1930-09-25,m,Karmelweg 21,Großhöflein,7051,Brazil,Sam.Rivers@bplmobile.com,02448 66267492
97,1930-09-25,m,Achselkopfweg 32,Hornstein,2491,Brazil,Shel.Silverstein@clearlydigital.com,05787 90571998
98,1930-10-02,m,Allerheiligenhofweg 98,Hornstein,7053,United States,David.Barrett@mobile.surewest.com,07923 24460565
99,1930-10-28,w,Am Gießen 93,Klingenbach,7013,Australia,Barbara.Brecht-Schall@email.uscc.net,08459 49602781
100,1930-10-17,m,Amberggasse 74,Leithaprodersdorf,2443,Brazil,Jimmy.Breslin@myboostmobile.com,09422 22307783
101,1930-10-30,m,Ampfererstraße 92,Mörbisch am See,7072,United States,Clifford.Brown@vmobile.ca,02886 77422877
102,1930-10-25,m,Angergasse 37,Müllendorf,7052,Turkey,Robert_Delford.Brown@pageme.comspeco.net,050 70264656
103,1930-10-06,m,Bachgasse 11,Neufeld an der Leitha,2491,India,Errol.Crossan@clearlydigital.com,04980 38222594
104,1930-10-27,m,Bachlechnerstraße 44,Oggau am Neusiedler See,7063,India,Bill.George@email.skytel.com,04170 93847426
105,1930-10-05,m,Bauerngasse 87,Oslip,7064,Nigeria,ZPxVrfmxmIjmeNXPN@t-mobile.uk.net,04412 39097777
106,1930-10-01,m,Berchtoldshofweg 3,Purbach am Neusiedler See,7083,Libya,Art.Hughes@bplmobile.com,06310 98230969
107,1930-10-10,m,Bildgasse 54,Sankt Margarethen im Burgenland,7062,Iran,Harold.Pinter@messaging.sprintpcs.com,0184 14508455
108,1930-10-24,m,Blasius-Hueber-Straße 60,Schützen am Gebirge,7081,Canada,hiAmPjWYykpdBXYGc@email.uscc.net,06702 91581958
109,1930-10-26,m,Botanikerstraße 42,Siegendorf im Burgenland,7011,India,Les.Richter@mobilecell1se.com,05684 9481131
110,1930-10-30,w,Botenthalweg 27,Steinbrunn,2491,Turkey,Gita.Sen@ml.bm,07686 55903910
111,1930-11-16,w,Brandjochstraße 12,Steinbrunn,7035,Greece,Patricia.Barry@o2.co.uk,04891 76844138
112,1930-11-30,m,Burgstadl 80,Trausdorf an der Wulka,7061,Greece,Jim.Boyd@ucom,03748 56903462
113,1930-11-11,m,Daneygasse 62,Wimpassing an der Leitha,2485,Venezuela,Hank.Garland@mobilecell1se.com,07205 89568568
114,1930-11-09,m,Daxgasse 74,Wulkaprodersdorf,7041,United States,Charlie.Jones@isp.com,03167 89671675
115,1930-11-24,m,Dorfgasse 81,Loretto,2443,United States,Yale.Lary@cingularme.com,05333 97644743
116,1930-11-30,m,Dr.-Stumpf-Straße 85,Stotzing,2443,Panama,KnpQVSbemsAFKItRc@bluewin.ch,02822 48205065
117,1930-11-06,m,Exlgasse 83,Zillingtal,7033,Mexico,Ed.Murphy@ucom,05634 37093581
118,1930-11-30,w,Fischerhäuslweg 59,Zillingtal,7034,Colombia,Naomi.Plaskitt@o2.co.uk,01644 70932480
119,1930-11-16,m,Fischnalerstraße 49,Zagersdorf,7011,Algeria,Salvatore.Riina@pagegate.pagenet.ca,0533 13874935
120,1930-11-04,w,Fliedergasse 65,Bocksdorf,7551,Japan,Doris.Roberts@att.net,05337 25231476
121,1930-12-31,w,Frau-Hitt-Straße 82,Burgauberg-Neudauberg,8291,Tuamotu Is,CnYOBJerkjximvVBq@vodafone.net,06604 54523660
122,1930-12-01,m,Fürstenweg 15,Burgauberg-Neudauberg,8292,India,Jim.Anderson@tmomail.net,07448 8866293
123,1930-12-03,m,Galgenbühelweg 27,Eberau,7521,Finland,Jean-Luc.Godard@alphanow.net,02086 77746654
124,1930-12-17,m,Gemsengasse 92,Eberau,7522,Germany,Bob.Guccione@celforce.com,02612 97389827
125,1930-12-09,m,Gramartstraße 80,Gerersdorf-Sulz,7540,Iran,Buck.Henry@messaging.sprintpcs.com,0857 50686858
126,1930-12-15,w,Grauer-Stein-Weg 23,Gerersdorf-Sulz,7542,United States,Rosemary.LaBianca@bplmobile.com,02772 86541897
127,1930-12-01,w,Großer-Gott-Weg 77,Güssing,7540,Germany,Emily.McLaughlin@bellmobility.ca,04954 88114345
128,1930-12-13,m,Gufeltalweg 17,Güssing,7542,United States,Robert.Prosky@o2imail.co.uk,09192 95295519
129,1930-12-08,m,Harterhofweg 55,Güttenbach,7535,Papua New Guinea,Stan.Richards@pcs.rogers.com,069 17585785
130,1930-12-08,m,Hechenbergweg 23,Heiligenbrunn,7522,Mauritania,Maximilian.Schell@movistar.net,08584 76470272
131,1930-12-22,w,Hinterwaldnerstraße 50,Kukmirn,7540,United States,Betty.Sullivan@csouth1.com,02481 94663143
132,1930-12-05,m,Hocheggweg 84,Kukmirn,7543,United States,Brian.Tobin@3rivers.net,09887 10367296
133,1931-01-29,m,Höhenstraße 68,Neuberg im Burgenland,7535,United States,Richard.Bakalyan@@airmessage.net,05522 45010363
134,1931-01-31,m,Höttinger Au 87,Neustift bei Güssing,7540,Canada,Ernie.Banks@goldentele.com,05938 61891264
135,1931-01-28,w,Höttinger Auffahrt 35,Olbendorf,7534,France,Lucia.Bose@ml.bm,03130 70840789
136,1931-01-29,m,Höttinger Bild 13,Ollersdorf im Burgenland,7533,United States,Leslie.Bricusse@vmobl.com,06029 88953647
137,1931-01-22,w,Höttinger Gasse 62,Sankt Michael im Burgenland,7535,United States,Mary.Castle@message.bam.com,06388 52552221
138,1931-01-22,m,Höttinger Rain 69,Stegersbach,7551,United States,Sam.Cooke@corrwireless.net,07111 97909404
139,1931-01-22,m,Hofwaldweg 62,Stinatz,7552,United States,Sam.Cooke@pagemart.net,07620 87308715
140,1931-01-06,m,Hoher Weg 2,Strem,7522,United States,ZBRkrWdBQcwndyABa@qwestmp.com,0792 77680987
141,1931-01-05,m,Huchenstraße 25,Tobaj,7535,United States,Robert.Duvall@bell.ca,06464 90160350
142,1931-01-30,m,Hugo-Klein-Weg 18,Tobaj,7540,United States,tOEwknaUcBByhOjJO@onlinebeep.net,05687 13917800
143,1931-01-31,m,Franz-Baumann-Weg 18,Hackerberg,8292,United States,Hansjorg.Felmy@advantagepaging.com,09894 52995085
144,1931-01-30,m,Hutterweg 34,Wörterberg,8293,Guyana,Gene.Hackman@escotelmobile.com,06812 81646450
145,1931-01-19,w,Ing.-Sigl-Straße 18,Großmürbisch,7540,United States,Tippi.Hedren@paging.acswireless.com,0385 74326822
146,1931-01-17,w,Ingenuin-Fischler-Straße 88,Inzenhof,7540,France,Ellen.Holly@mobile.dobson.net,06007 77391593
147,1931-01-17,m,Jagdgasse 84,Kleinmürbisch,7540,Nigeria,James_Earl.Jones@bluecell.com,0673 1498912
148,1931-01-27,m,Josef-Stapf-Straße 60,Tschanigraben,7540,United States,Rudi.Maugeri@mobilecomm.net,08729 31955015
149,1931-01-15,m,Kanonikus-Gamper-Gasse 49,Heugraben,7551,Cook Is,Derek.Meddings@voicestream.net,09790 93655104
150,1931-01-06,m,Karl-Innerebner-Straße 63,Rohr im Burgenland,7551,Japan,aqDcoCGRxlcaQwlIt@vmobile.ca,07456 91851879
151,1931-01-26,w,Kaspar-Weyrer-Straße 70,Bildein,7521,Congo,Mary.Murphy@blueskyfrog.com,03556 2289802
152,1931-01-13,m,Kerschbuchhofweg 62,Rauchwart im Burgenland,7535,United States,Charles_Nelson.Reilly@pcs.rogers.com,0474 16839359
153,1931-01-11,w,Dr.-Sigismund-Epp-Weg 0,Moschendorf,7540,Turkey,Mary.Rodgers@uraltel.ru,06997 99339643
154,1931-01-14,w,Kirschentalgasse 13,Deutsch Kaltenbrunn,7572,United States,Caterina.Valente@page.southernlinc.com,08678 35899014
155,1931-02-15,w,Klammstraße 66,Eltendorf,7562,United States,Claire.Bloom@email.skytel.com,01914 88024503
156,1931-02-24,m,Klausener Straße 90,Heiligenkreuz im Lafnitztal,7561,Turkey,Dominic.Chianese@mobile.celloneusa.com,08268 49374464
157,1931-02-02,m,Klein-Christen 53,Jennersdorf,8282,Japan,Les.Dawson@pagemart.net,09880 45894329
158,1931-02-08,m,Knappenweg 96,Jennersdorf,8380,Mauritania,James.Dean@alphame.com,03306 27622107
159,1931-02-01,w,Kohlweg 24,Minihof-Liebau,8384,Canada,Franca.Faldini@voicestream.net,03892 11771105
160,1931-02-14,m,Kolbgasse 29,Mogersdorf,8382,Sudan,jkRtexDIiQKKyTgJj@myvzw.com,04207 75052065
161,1931-02-14,m,Kranebitter Allee 74,Neuhaus am Klausenbach,8384,India,Bernie.Geoffrion@att.net,04904 20049324
162,1931-02-26,w,Kranebitterbodenweg 83,Neuhaus am Klausenbach,8385,Cameroon,Peggy.Maurer@emt.ee,05312 5468605
163,1931-02-14,w,Lahntalweg 93,Rudersdorf,7564,Togo,Phyllis.McGuire@dpcs.mobile.att.net,06797 23459602
164,1931-02-28,m,Layrstraße 15,Rudersdorf,7571,United States,Gavin.McLeod@fido.ca,01337 96515030
165,1931-02-18,w,Leonhardweg 99,Sankt Martin an der Raab,8350,United States,Toni.Morrison@myvzw.com,04243 22649177
166,1931-02-06,m,Lindenbühelweg 51,Sankt Martin an der Raab,8380,United States,kuievyzZDjzgohLEU@page.metrocall.com,08592 61699124
167,1931-02-07,w,Luis-Zuegg-Straße 56,Sankt Martin an der Raab,8383,United States,Gloria.Talbott@mymeteor.ie,05070 68440802
168,1931-02-06,m,Löfflerweg 30,Sankt Martin an der Raab,8384,Cyprus,Rip.Torn@page.metrocall.com,09008 45083155
169,1931-02-06,w,Lohbachufer 80,Sankt Martin an der Raab,8385,Kazakhstan,Mamie_Van.Doren@swmsg.com,05517 40612749
170,1931-02-01,m,Mariahilfpark 12,Weichselbaum,8382,Greece,Boris.Yeltsin@t-mobile.uk.net,03754 65893881
171,1931-03-11,w,Marzeneggweg 21,Königsdorf,7563,Kazakhstan,Diane.Brewster@sendabeep.net,01683 86469030
172,1931-03-06,w,Mittenwaldweg 68,Mühlgraben,8385,Canada,Carmen_De.Lavallade@alphame.com,08185 49866677
173,1931-03-17,w,Mitterweg 77,Draßburg,7021,Nigeria,Eunice.Gayson@pagegate.pagenet.ca,0376 69245629
174,1931-03-29,m,Nageletal 84,Forchtenstein,7212,Iceland,Philip.Gilbert@bellsouthtips.com,03492 66866889
175,1931-03-02,m,Nagillergasse 90,Hirm,7024,Saudi Arabia,Mikhail.Gorbachev@page.nextel.com,02957 47260269
176,1931-03-15,w,Negrellistraße 99,Loipersbach im Burgenland,7022,United Arab Emirates,Marion.Guggenheim@o2.co.uk,04758 96143143
177,1931-03-25,m,Oppolzerstraße 22,Marz,7221,Egypt,Kenneth.Haigh@gsm1800.telia.dk,03796 1377326
178,1931-03-27,m,Perthalergasse 16,Mattersburg,7210,Saudi Arabia,David.Janssen@email.skytel.com,09300 60880947
179,1931-03-04,m,Pirmingasse 16,Neudörfl,7201,United Arab Emirates,Bob.Johnson@mobile.surewest.com,02539 44342079
180,1931-03-04,m,Planötzenhofstraße 30,Pöttelsdorf,7023,Saudi Arabia,Larry.Keith@email.swbw.com,04551 94571023
181,1931-03-20,m,Probstenhofweg 4,Pöttsching,7033,United Arab Emirates,Hal.Linden@beepwear.net,03629 97770758
182,1931-03-11,m,Rehgasse 28,Pöttsching,7202,United States,Rupert.Murdoch@clearlydigital.com,07996 6505221
183,1931-03-26,m,Reimmichlgasse 29,Rohrbach bei Mattersburg,7222,United States,Leonard.Nimoy@pscel.com,09263 43662403
184,1931-03-22,m,Riedgasse 62,Bad Sauerbrunn,7202,United States,William.Shatner@cellularone.textmsg.com,04040 71038698
185,1931-03-09,m,Rosengartenstraße 25,Schattendorf,7022,United States,Masahiro.Shinoda@pagemci.com,03397 56773678
186,1931-03-06,m,Rosengasse 37,Sieggraben,7223,Mexico,John.Smith@sfr.fr,08193 39351633
187,1931-03-12,m,Sadrachstraße 11,Sigleß,7032,Kenya,hnXhlnVnFahziQyjy@m1.com.sg,05095 36717948
188,1931-03-09,m,Sandbühelweg 45,Wiesen,7202,Finland,Sam.Williams@ml.bm,03072 43476353
189,1931-04-26,m,Sankt-Georgs-Weg 92,Wiesen,7203,Spain,Paul.Almond@umc.com.ua,02520 95589205
190,1931-04-21,m,Santifallerstraße 25,Antau,7041,Angola,Carl.Belew@mobile.dobson.net,0233 24907748
191,1931-04-13,m,Saurweinweg 52,Baumgarten,7021,United States,Michel.DeVille@fido.ca,01753 12944394
192,1931-04-06,m,Scheuchenstuelgasse 84,Zemendorf-Stöttera,7023,United States,Ivan.Dixon@scs-900.ru,01212 21773787
193,1931-04-07,m,Schießstandgasse 66,Krensdorf,7031,United States,Daniel.Ellsberg@airtelkol.com,07250 97202435
194,1931-04-07,m,Schlerngasse 75,Andau,7163,United States,Ted.Kotcheff@pcs.ntelos.com,06849 50882224
195,1931-04-19,m,Schlotthofweg 81,Apetlon,7132,Australia,Garfield.Morgan@mobilpost.no,04891 91940365
196,1931-04-11,m,Schneeburggasse 79,Apetlon,7143,Yemen,Johnny.Sheffield@airtelchennai.com,01294 88926945
197,1931-04-12,w,Schulgasse 54,Apetlon,7161,Italy,Pat.Stanley@bell.ca,0578 62148715
198,1931-04-21,m,Schwabeneckweg 33,Bruckneudorf,2460,Canada,Morgan.Wootten@tmomail.net,09338 80483113
199,1931-05-28,w,Seegrube 2,Bruckneudorf,2462,United States,Carroll.Baker@rpgmail.net,02225 69840750
200,1931-05-22,m,Silberweg 13,Deutsch Jahrndorf,2423,United States,Kenny.Ball@cellularone.textmsg.com,08242 2626264
201,1931-05-23,w,Solsteinstraße 61,Frauenkirchen,7132,Mexico,Barbara.Barrie@ucom,06584 21332288
202,1931-05-20,m,Sonnenstraße 65,Gattendorf,2474,Venezuela,Ken.Boyer@bplmobile.com,0913 81677125
203,1931-05-18,m,Speckweg 40,Gols,7122,Cuba,Martin.Bregman@optusmobile.com.au,08098 59874815
204,1931-05-07,w,Stamser Feld 9,Halbturn,7131,Colombia,Teresa.Brewer@o2imail.co.uk,05643 2527390
205,1931-05-27,m,Steinbockweg 26,Illmitz,7142,United States,"William_Cain,.II@bplmobile.com",04334 9147104
206,1931-05-15,w,Steinbruchstraße 2,Jois,7093,France,Norma_Fox.Mazer@bluecell.com,01569 51048505
207,1931-05-09,w,Sternwartestraße 33,Kittsee,2421,United States,Jan.Holden@alphame.com,0814 87597685
208,1931-05-11,w,Storchenstraße 57,Mönchhof,7123,United States,Marilyn.King@paging.acswireless.com,01354 4919497
209,1931-05-03,m,Technikerstraße 90,Neusiedl am See,7100,Yemen,Joe.Layton@correo.movistar.net,08396 5091312
210,1931-05-06,m,Tiergartenstraße 77,Nickelsdorf,2425,United States,Willie.Mays@mobile.att.net,07354 52459482
211,1931-05-07,m,Titschenbrunnen 16,Pama,2422,Australia,Lloyd.Monsen@email.swbw.com,04165 50908379
212,1931-05-25,w,Trenkwalderstraße 50,Pamhagen,7152,Spain,Susan.Morrow@mtsmobility.com,02956 95123891
213,1931-05-18,m,Tschiggfreystraße 2,Parndorf,2471,Colombia,Robert.Morse@3rivers.net,08691 49178554
214,1931-05-19,m,Uferstraße 59,Parndorf,7111,United Kingdom,Trevor.Peacock@csouth1.com,08516 78277541
215,1931-05-10,m,Ulfiswiese 92,Podersdorf am See,7141,United States,Ettore.Scola@o2imail.co.uk,03589 44666331
216,1931-05-21,w,Unterbergerstraße 84,Sankt Andrä am Zicksee,7161,United Kingdom,Ann.Stephens@orangemail.co.in,01563 44162447
217,1931-05-28,m,Ursulinenweg 43,Tadten,7162,Brazil,Gordon.Willis@timnet.com,07391 37089546
218,1931-05-28,m,Viktor-Franz-Hess-Straße 63,Wallern im Burgenland,7151,Peru,Irwin.Winkler@delhi.hutch.co.in,06370 7239376
219,1931-06-28,m,Vögelebichl 88,Weiden am See,7100,Poland,Hans.Alfredson@corrwireless.net,04509 3742257
220,1931-06-27,m,Vogelhütte 50,Weiden am See,7121,Syria,Charles.Bronfman@pcsone.net,08343 5948534
221,1931-06-05,m,Vogelweiderstraße 86,Winden am See,7092,Canada,Jacques.Demy@ram-page.com,07943 79341865
222,1931-06-20,w,Weiherburggasse 80,Zurndorf,2424,Canada,Olympia.Dukakis@pagemart.net,05839 53958653
223,1931-06-26,m,Maria-im-Walde-Weg 43,Neudorf bei Parndorf,2475,Peru,Michael.Elliott@tms.suncom.com,09460 11137657
